step	s	h_x	j_apo	j_lig_per_edge	edge_id	edge_a	edge_b	is_lig_attach	disc_step	disc_cum	total_disc_step
6	0.1300	0.7400	0.2600	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.529986e-25
6	0.1300	0.7400	0.2600	0.0000	1	1	2	0	0.000000e0	0.000000e0	1.529986e-25
6	0.1300	0.7400	0.2600	0.0000	2	2	3	0	3.493195e-28	3.581319e-28	1.529986e-25
6	0.1300	0.7400	0.2600	0.0000	3	3	4	0	3.500152e-28	3.588284e-28	1.529986e-25
6	0.1300	0.7400	0.2600	0.0000	4	4	5	0	7.114101e-28	7.290548e-28	1.529986e-25
6	0.1300	0.7400	0.2600	0.0000	5	5	6	0	7.526353e-26	7.549452e-26	1.529986e-25
6	0.1300	0.7400	0.2600	0.0000	6	6	7	0	7.526358e-26	7.549456e-26	1.529986e-25
6	0.1300	0.7400	0.2600	0.0000	7	7	8	0	7.113674e-28	7.290121e-28	1.529986e-25
6	0.1300	0.7400	0.2600	0.0000	8	8	9	0	3.493691e-28	3.581815e-28	1.529986e-25
6	0.1300	0.7400	0.2600	0.0000	9	9	10	0	0.000000e0	0.000000e0	1.529986e-25
6	0.1300	0.7400	0.2600	0.0000	10	10	11	0	0.000000e0	0.000000e0	1.529986e-25
6	0.1300	0.7400	0.2600	0.0000	11	6	12	1	0.000000e0	0.000000e0	1.529986e-25
7	0.1500	0.7000	0.3000	0.0000	0	0	1	0	0.000000e0	0.000000e0	2.172250e-23
7	0.1500	0.7000	0.3000	0.0000	1	1	2	0	0.000000e0	0.000000e0	2.172250e-23
7	0.1500	0.7000	0.3000	0.0000	2	2	3	0	8.888273e-26	8.924086e-26	2.172250e-23
7	0.1500	0.7000	0.3000	0.0000	3	3	4	0	8.907674e-26	8.943557e-26	2.172250e-23
7	0.1500	0.7000	0.3000	0.0000	4	4	5	0	1.795378e-25	1.802668e-25	2.172250e-23
7	0.1500	0.7000	0.3000	0.0000	5	5	6	0	1.054828e-23	1.062378e-23	2.172250e-23
7	0.1500	0.7000	0.3000	0.0000	6	6	7	0	1.054829e-23	1.062379e-23	2.172250e-23
7	0.1500	0.7000	0.3000	0.0000	7	7	8	0	1.795284e-25	1.802574e-25	2.172250e-23
7	0.1500	0.7000	0.3000	0.0000	8	8	9	0	8.890000e-26	8.925819e-26	2.172250e-23
7	0.1500	0.7000	0.3000	0.0000	9	9	10	0	0.000000e0	0.000000e0	2.172250e-23
7	0.1500	0.7000	0.3000	0.0000	10	10	11	0	0.000000e0	0.000000e0	2.172250e-23
7	0.1500	0.7000	0.3000	0.0000	11	6	12	1	0.000000e0	0.000000e0	2.172250e-23
8	0.1700	0.6600	0.3400	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.492111e-21
