step	s	h_x	j_apo	j_lig_per_edge	edge_id	edge_a	edge_b	is_lig_attach	disc_step	disc_cum	total_disc_step
13	0.2700	0.4600	0.5400	0.0000	2	0	4	0	2.042564e-5	3.764746e-5	1.353795e-2
13	0.2700	0.4600	0.5400	0.0000	3	0	6	0	0.000000e0	0.000000e0	1.353795e-2
13	0.2700	0.4600	0.5400	0.0000	4	0	8	0	1.351753e-2	4.132641e-2	1.353795e-2
13	0.2700	0.4600	0.5400	0.0000	5	5	8	0	0.000000e0	2.187912e-33	1.353795e-2
13	0.2700	0.4600	0.5400	0.0000	6	7	8	0	0.000000e0	0.000000e0	1.353795e-2
13	0.2700	0.4600	0.5400	0.0000	7	8	9	0	0.000000e0	0.000000e0	1.353795e-2
13	0.2700	0.4600	0.5400	0.0000	8	3	4	0	0.000000e0	4.982321e-38	1.353795e-2
13	0.2700	0.4600	0.5400	0.0000	9	3	10	0	0.000000e0	0.000000e0	1.353795e-2
13	0.2700	0.4600	0.5400	0.0000	10	5	11	1	0.000000e0	0.000000e0	1.353795e-2
14	0.2900	0.4200	0.5800	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.378288e-2
14	0.2900	0.4200	0.5800	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.378288e-2
14	0.2900	0.4200	0.5800	0.0000	2	0	4	0	3.499862e-5	7.264608e-5	1.378288e-2
14	0.2900	0.4200	0.5800	0.0000	3	0	6	0	0.000000e0	0.000000e0	1.378288e-2
14	0.2900	0.4200	0.5800	0.0000	4	0	8	0	1.374788e-2	5.507430e-2	1.378288e-2
14	0.2900	0.4200	0.5800	0.0000	5	5	8	0	0.000000e0	2.187912e-33	1.378288e-2
14	0.2900	0.4200	0.5800	0.0000	6	7	8	0	0.000000e0	0.000000e0	1.378288e-2
14	0.2900	0.4200	0.5800	0.0000	7	8	9	0	0.000000e0	0.000000e0	1.378288e-2
14	0.2900	0.4200	0.5800	0.0000	8	3	4	0	0.000000e0	4.982321e-38	1.378288e-2
14	0.2900	0.4200	0.5800	0.0000	9	3	10	0	0.000000e0	0.000000e0	1.378288e-2
14	0.2900	0.4200	0.5800	0.0000	10	5	11	1	0.000000e0	0.000000e0	1.378288e-2
15	0.3100	0.3800	0.6200	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.367015e-2
15	0.3100	0.3800	0.6200	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.367015e-2
